,Article,Wort,Word
353,der,"Hass, -X","hate, hatred"
354,der,"Haushalt, -e",household
355,der,"Heilend, -e",savior
356,der,"Heilige, -",saint
357,der,"Held, -en, die Heldin, -nen","hero, heroin"
358,der,"Herd, -e","whole stove, oven and top"
359,der,"Himmel, -",heaven
360,der,"Hinduismus, x",hinduism
361,der,"Hochzeitstage, -n",wedding day
362,der,"Hof, -¨e","yard, courtyard"
363,der,"Honig, -",honey
364,der,"Horizont, -e",horizon
365,der,"Huf, -e",hoof
366,der,"Husten, -X",cough
367,der,"Hustensaft, -¨e",cough syrup
368,der,"Hüter, die Hüterin",custodian
369,der,"Internist, -",internalist
370,der,"Internspeicher, -X",computer memory
371,der,"Kachelboden, -",tile floor
372,der,"Kalender , -",calender
373,der,"Kamm, -¨e",comb
374,der,"Kasperl, -n",puppet
375,der,"Kassenzettel, -",receipt
376,der,"Kater, -",tomcat
377,der,"Keks, -e",cookies
378,der,"Kellner, -, die Kellnerin - nen","waiter, waitress"
379,der,"Klee, -",clover
380,der,"Kleiderbügel, -",coat hanger
381,der,"Klub, -s","club, civic group"
382,der,"Knoblauch, -",garlic
383,der,"Knöchel, -",ankle
384,der,"Koffer, -",suitcase
385,der,"Kohl, -e",cabbage
386,der,"Kontrast, -e",contrast
387,der,"Kontrolleur, -",inspector
388,der,"Kopf, -¨e",head
389,der,"Kopfsalat, -e",head lettuce
390,der,"Korb, -¨e",basket
391,der,"Korken, -",cork
392,der,"Korkenzieher, -",corkscrew
393,der,"Krankenpfleger, -e","nurse, male or female"
394,der,"Kratzer, -",scratch
395,der,"Kreis, -e",circle
396,der,"Kuchen, -",cake
397,der,"Kugelschreiber, -",ink pen
398,der,"Kunde, -n, die Kundin, -nen",customer
399,der,Kundenservice,customer service department
400,der,"Kuss, -¨e",kiss
401,der,"Käfig, -",birdcage
402,der,"Käse, -n",cheese
403,der,"Körper, -",body
404,der,"Kühlschrank, -¨e",refrigerator
405,der,"Kürbis, -es",pumpkins
406,der,"Laden, -¨",shop
407,der,"Langschläfer, -in","late sleeper, lazy person"
408,der,"Laptop, -s",laptop computer
409,der,"Lauch, -e",leek
410,der,"Leerlauf, x",idle
411,der,"Legastheniker, -, die Legasthenikerin, -nen",dyslexic
412,der,"Leiter, -",leader
413,der,"Liebling, -s",loved one
